job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function
16996,769,748,471,302,886,1607,2561,1619,0,1,0,1,7,13,48,16
9358,2125,688,471,302,20,1561,1480,1457,0,1,1,1,5,1,55,26
11562,1048,15,323,302,636,2031,2414,1619,0,1,0,0,6,9,55,17
1106,1950,1172,391,302,729,2289,1129,755,0,1,1,1,1,13,106,31
1981,1757,1002,471,302,735,257,743,758,0,1,0,1,0,1,80,37
17265,941,560,471,299,569,1571,2599,114,0,1,0,1,7,13,99,37
13053,2341,300,471,302,490,2862,896,467,0,1,0,1,7,13,116,37
5550,569,731,122,302,471,1490,2561,1619,0,1,0,1,2,9,25,7
9400,2685,393,471,302,79,2674,1722,1551,1,1,0,0,5,13,116,37
9334,41,440,233,302,865,1869,2561,1619,0,1,0,1,7,5,105,18
13255,2530,607,471,302,833,3072,2123,197,0,1,0,1,7,13,116,31
1090,557,950,471,302,486,2194,1213,1619,0,1,0,3,2,4,37,1
127,983,311,471,302,835,2436,1352,1469,0,1,0,1,5,13,58,37
7390,508,247,391,302,185,3106,1894,1619,0,0,1,5,7,13,116,37
4445,377,956,348,302,482,729,2561,1619,0,1,0,1,5,9,14,25
17878,1854,1089,471,302,760,948,393,1619,0,0,0,1,7,13,116,37
11371,1461,330,273,46,91,1087,477,67,0,1,0,1,0,1,58,22
3300,809,1032,471,302,797,1307,2210,1107,0,1,0,0,2,1,29,37
3077,180,83,471,302,886,2635,2561,1619,0,0,0,1,2,13,55,5
13797,1384,852,301,302,526,1162,1579,998,0,1,0,5,7,13,116,37
852,2262,1076,364,302,824,2315,2376,1619,0,1,0,1,5,1,80,12
16412,1438,982,471,302,760,72,2561,1619,0,0,0,1,7,13,116,37
10991,2245,88,474,204,876,1972,613,1619,0,1,1,1,5,1,55,12
13563,1866,953,471,302,443,613,1138,1619,0,1,1,0,7,13,37,37
744,2342,610,163,302,435,2820,947,690,0,1,0,1,5,13,58,12
10273,2370,304,471,302,58,2839,461,1231,1,1,1,1,2,5,55,12
10803,1835,664,471,302,486,3245,1367,1619,0,1,0,1,2,4,25,7
8158,971,1009,471,302,726,371,525,27,0,1,1,1,2,4,15,16
16666,2382,478,471,302,683,2959,47,49,0,1,0,5,7,13,116,37
12743,1426,982,471,302,760,80,2561,1619,0,0,0,1,7,13,0,37
14182,1195,487,471,302,406,1361,2319,618,0,1,1,1,2,4,108,31
16556,68,311,272,302,804,433,0,1619,0,1,0,5,7,13,116,37
9975,860,440,233,302,865,1879,1699,1619,0,1,0,1,7,5,105,18
13784,811,241,471,258,886,911,714,1619,0,1,0,1,5,13,55,31
625,176,1135,471,302,707,2481,1742,1246,0,1,0,1,0,13,37,37
16240,768,486,130,302,44,2499,1623,1611,0,1,1,1,5,1,55,18
15605,1144,848,220,302,178,1283,284,338,0,1,1,1,5,1,79,17
7831,1784,21,471,114,886,2930,1354,246,0,0,0,3,7,13,8,13
10122,1377,1032,471,302,398,1353,1133,559,0,1,0,1,6,9,62,0
12750,926,1075,471,221,271,406,2494,481,0,1,1,1,5,1,55,18
3579,1299,306,471,302,886,3007,2561,1619,0,0,1,5,7,13,116,37
14810,2474,1013,471,302,726,1163,524,8,0,1,1,1,2,4,15,16
10729,1121,651,471,302,190,701,2561,1619,0,1,0,5,7,13,46,37
14639,2132,610,471,302,886,1721,326,1619,0,0,0,0,5,13,55,18
6973,536,1050,471,302,642,1488,1034,650,0,1,1,3,2,4,6,7
17317,1222,1075,471,302,368,1206,2273,1619,1,1,0,0,5,1,58,22
488,557,750,471,302,486,2220,1211,1619,0,1,0,1,2,4,56,1
465,1006,383,272,302,507,572,380,1619,0,1,1,1,6,13,55,22
15249,1473,607,471,302,833,1442,2344,1489,0,1,1,1,5,1,105,22
13589,1976,868,135,302,468,1486,1848,849,0,1,1,1,5,1,56,17
10898,1606,487,471,182,60,3086,984,395,0,1,1,1,2,4,58,1
11622,170,179,90,302,545,866,1386,1014,0,1,1,3,6,9,48,16
8260,1486,524,471,302,760,1432,1168,1619,0,0,0,1,5,1,68,20
14061,634,935,133,302,432,2228,1741,1207,0,1,1,0,2,1,55,6
15010,915,88,143,302,114,2824,2185,589,0,1,1,2,7,13,28,36
12129,1728,1147,471,302,62,290,1980,289,0,1,0,1,5,1,17,31
1011,2669,175,471,302,254,2414,329,1619,0,1,1,1,2,10,116,1
1557,949,538,471,278,886,188,2561,1619,1,0,1,0,5,13,21,18
712,1811,487,471,302,462,1478,2280,688,1,1,1,1,5,9,27,9
14569,609,237,471,302,218,2952,265,1637,0,1,0,3,4,1,55,8
347,1975,54,203,302,643,248,1371,445,0,0,1,5,7,13,116,37
3697,2161,760,471,302,41,518,2561,1619,0,1,0,5,7,13,116,37
13500,1828,566,435,0,196,426,469,502,0,1,0,1,6,1,17,18
8061,1512,604,471,302,241,2403,2561,1619,0,1,1,2,6,4,22,37
1976,1237,1002,471,302,735,2424,740,1140,0,1,1,1,7,13,80,37
13992,749,655,471,115,886,3256,270,1233,0,0,0,0,2,13,108,37
12766,999,950,471,302,391,860,2561,1619,0,1,0,5,7,13,116,37
17099,50,607,471,302,504,968,2609,1619,0,1,0,1,5,1,21,18
8949,166,341,471,302,129,544,1035,1619,0,1,1,1,7,13,58,37
6577,1017,979,471,302,797,1699,2203,1107,0,1,1,0,2,1,29,11
14023,2178,308,97,302,457,1464,566,1520,0,1,1,5,7,13,116,37
12057,2605,67,471,289,383,122,2561,1619,0,1,1,1,7,13,21,9
17671,550,855,471,302,886,2881,999,1619,1,0,0,5,2,8,116,1
987,601,103,125,302,756,1617,2303,1619,0,1,1,5,7,13,116,37
2680,851,1138,354,302,849,424,1586,904,0,0,1,5,7,13,116,37
6835,2278,303,471,302,152,783,413,512,0,0,1,1,5,1,55,12
5033,2516,367,410,302,38,1884,1721,1570,0,1,1,5,7,13,116,37
8376,471,744,391,257,55,364,520,1480,0,1,1,1,5,4,22,31
13047,1126,915,471,302,190,689,2561,1619,0,1,0,5,7,13,116,37
16675,159,769,471,211,396,1264,2561,1619,0,1,0,1,2,13,25,37
11224,853,126,471,51,159,196,539,728,0,1,0,1,7,9,105,31
2016,2203,108,344,302,671,3225,1176,189,0,1,0,1,0,1,106,24
5319,1981,156,471,302,784,465,2561,1619,0,1,1,5,7,13,116,37
5364,993,935,304,54,753,2629,1261,258,1,1,1,5,7,13,85,15
5514,1737,1017,471,302,886,2657,1726,1223,0,0,0,5,7,13,116,37
16176,2096,1080,132,203,76,1218,44,36,0,1,0,1,6,9,25,31
9709,2537,696,435,114,48,2847,1328,1364,0,1,0,1,2,4,25,23
14584,806,1137,471,302,797,1708,2201,1107,0,1,1,0,7,1,29,37
8451,1742,67,323,302,737,983,2166,1463,0,1,1,1,5,13,21,17
10802,1556,935,272,302,265,966,1786,640,0,1,1,1,7,1,116,22
7515,2052,950,391,302,307,183,472,182,0,1,0,1,7,13,116,31
554,1518,1176,471,302,815,594,2561,1619,0,1,0,5,7,13,116,37
9804,2642,487,244,302,37,1231,1537,405,0,0,1,1,1,1,48,16
1287,1805,696,122,142,181,1570,513,709,1,1,0,1,6,4,25,7
17360,2397,471,471,67,886,2128,54,1066,0,1,0,1,5,1,55,18
3489,1205,478,471,302,561,2453,549,1619,0,0,0,1,0,0,106,31
10763,583,950,471,302,486,2394,1510,1619,0,1,0,1,2,4,63,7
15688,1221,67,471,302,785,2358,128,1619,0,1,1,0,0,13,70,26
6057,15,1016,94,120,886,2439,2262,1237,1,0,0,1,6,4,105,1
1483,221,825,471,302,886,2803,116,1619,0,0,1,3,6,4,38,37
16480,2629,950,272,302,830,2606,2561,1619,0,1,1,1,5,13,58,22
17273,873,13,471,210,231,1359,2561,1619,0,1,1,1,0,13,93,27
10715,552,950,471,302,486,3238,1201,1619,0,1,0,1,2,4,37,7
5290,1421,676,268,302,471,913,2561,1619,0,1,0,1,2,9,70,20
14091,262,156,471,302,460,1474,1780,1090,0,1,1,1,0,13,37,4
4431,2430,618,471,302,708,2298,610,949,0,1,0,1,0,1,23,12
3190,1737,863,471,302,886,2657,1726,1223,0,0,0,5,7,13,116,37
7345,2260,617,163,302,467,1975,704,1452,0,1,1,1,5,1,20,12
15885,1220,854,471,302,653,2081,1822,1144,0,1,0,5,6,9,56,31
14864,843,618,471,302,708,2297,502,949,0,1,0,1,0,1,23,1
